event_id,event_name,datetime,city,country,location,data_navigate
714959,One Direction,2015-09-03 19:00:00,Orchard Park,USA,Ralph Wilson Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714959
716001,One Direction,2015-09-05 19:00:00,Montreal,Canada,Olympic Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-716001
716002,One Direction,2015-09-08 19:00:00,Kanata,Canada,Canadian Tire Centre,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-716002
717389,One Direction,2015-09-09 19:00:00,Kanata,Canada,Canadian Tire Centre,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-717389
714960,One Direction,2015-09-12 19:00:00,Foxborough,USA,Gillette Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714960
735139,One Direction,2015-09-24 18:30:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735139
735140,One Direction,2015-09-25 18:30:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735140
735141,One Direction,2015-09-26 18:30:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735141
744810,One Direction,2015-09-28 18:30:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-744810
744811,One Direction,2015-09-29 18:30:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-744811
744814,One Direction,2015-09-30 18:30:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-744814
735142,One Direction,2015-10-03 18:00:00,Manchester,United Kingdom,Phones 4u Arena Manchester,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735142
735143,One Direction,2015-10-04 18:00:00,Manchester,United Kingdom,Phones 4u Arena Manchester,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735143
735144,One Direction,2015-10-07 18:00:00,Glasgow,United Kingdom,Hydro,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735144
735145,One Direction,2015-10-08 18:00:00,Glasgow,United Kingdom,Hydro,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735145
735146,One Direction,2015-10-10 18:00:00,Birmingham,United Kingdom,Barclaycard Arena (NIA Birmingham),www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735146
735147,One Direction,2015-10-11 18:00:00,Birmingham,United Kingdom,Barclaycard Arena (NIA Birmingham),www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735147
744812,One Direction,2015-10-12 18:00:00,Birmingham,United Kingdom,Barclaycard Arena (NIA Birmingham),www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-744812
735159,One Direction,2015-10-16 18:30:00,Dublin,Eire,3 Arena Dublin,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735159
735160,One Direction,2015-10-17 18:30:00,Dublin,Eire,3 Arena Dublin,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735160
744808,One Direction,2015-10-18 18:30:00,Dublin,Eire,3 Arena Dublin,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-744808
736880,One Direction,2015-10-20 18:00:00,Belfast,United Kingdom,Odyssey,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-736880
736881,One Direction,2015-10-21 18:00:00,Belfast,United Kingdom,Odyssey,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-736881
744809,One Direction,2015-10-22 18:00:00,Belfast,United Kingdom,Odyssey,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-744809
735148,One Direction,2015-10-25 18:00:00,Newcastle upon Tyne,United Kingdom,Metro Radio Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735148
735149,One Direction,2015-10-26 18:00:00,Newcastle upon Tyne,United Kingdom,Metro Radio Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735149
744813,One Direction,2015-10-27 18:00:00,Newcastle upon Tyne,United Kingdom,Metro Radio Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-744813
735150,One Direction,2015-10-29 18:30:00,Sheffield,United Kingdom,Motorpoint Arena Sheffield,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735150
735151,One Direction,2015-10-30 18:30:00,Sheffield,United Kingdom,Motorpoint Arena Sheffield,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735151
744815,One Direction,2015-10-31 18:30:00,Sheffield,United Kingdom,Motorpoint Arena Sheffield,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-744815
832965,Paul McCartney,2015-04-21 16:30:00,Osaka,Japan,Osaka Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-832965
832966,Paul McCartney,2015-04-23 16:30:00,Tokyo,Japan,Tokyo Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-832966
832967,Paul McCartney,2015-04-25 16:30:00,Tokyo,Japan,Tokyo Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-832967
832968,Paul McCartney,2015-04-27 16:30:00,Tokyo,Japan,Tokyo Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-832968
919675,Paul McCartney,2015-04-28 17:30:00,Tokyo,Japan,Nippon Budokan,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-919675
896263,Paul McCartney,2015-05-23 18:30:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-896263
900901,Paul McCartney,2015-05-24 18:30:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-900901
896265,Paul McCartney,2015-05-27 18:30:00,Birmingham,United Kingdom,Barclaycard Arena (NIA Birmingham),www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-896265
896266,Paul McCartney,2015-05-28 18:30:00,Liverpool,United Kingdom,Echo Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-896266
896269,Paul McCartney,2015-06-05 19:00:00,Marseille,France,Stade Velodrome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-896269
896262,Paul McCartney,2015-06-07 18:30:00,Amsterdam,Holland,Ziggo Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-896262
908594,Paul McCartney,2015-06-08 18:30:00,Amsterdam,Holland,Ziggo Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-908594
896271,Paul McCartney,2015-06-11 19:00:00,Saint-Denis,France,Stade de France,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-896271
